Training Teacher
Epoch 261/300 | Loss: 662.97712 | Accuracy: 0.68222
Epoch 262/300 | Loss: 554.69790 | Accuracy: 0.70314
Epoch 263/300 | Loss: 621.59707 | Accuracy: 0.68244
Epoch 264/300 | Loss: 474.93067 | Accuracy: 0.72080
Epoch 265/300 | Loss: 476.25568 | Accuracy: 0.71680
Epoch 266/300 | Loss: 514.60682 | Accuracy: 0.70112
Epoch 267/300 | Loss: 649.43940 | Accuracy: 0.66394
Epoch 268/300 | Loss: 554.66622 | Accuracy: 0.68724
Epoch 269/300 | Loss: 503.89761 | Accuracy: 0.69434
Epoch 270/300 | Loss: 549.80663 | Accuracy: 0.68282
Epoch 271/300 | Loss: 436.09591 | Accuracy: 0.70744
Epoch 272/300 | Loss: 437.62676 | Accuracy: 0.70178
Epoch 273/300 | Loss: 477.58510 | Accuracy: 0.68666
Epoch 274/300 | Loss: 401.73783 | Accuracy: 0.70888
Epoch 275/300 | Loss: 390.13534 | Accuracy: 0.70898
Epoch 276/300 | Loss: 456.75295 | Accuracy: 0.68106
Epoch 277/300 | Loss: 385.85103 | Accuracy: 0.70604
Epoch 278/300 | Loss: 348.00069 | Accuracy: 0.71482
Epoch 279/300 | Loss: 311.62071 | Accuracy: 0.72174
Epoch 280/300 | Loss: 344.39786 | Accuracy: 0.70954
Epoch 281/300 | Loss: 333.91093 | Accuracy: 0.70930
Epoch 282/300 | Loss: 305.53006 | Accuracy: 0.71892
Epoch 283/300 | Loss: 281.13697 | Accuracy: 0.72608
Epoch 284/300 | Loss: 274.88937 | Accuracy: 0.72396
Epoch 285/300 | Loss: 279.83191 | Accuracy: 0.71628
Epoch 286/300 | Loss: 281.71452 | Accuracy: 0.71532
Epoch 287/300 | Loss: 231.30207 | Accuracy: 0.73738
Epoch 288/300 | Loss: 221.69531 | Accuracy: 0.73640
Epoch 289/300 | Loss: 268.48922 | Accuracy: 0.71196
Epoch 290/300 | Loss: 236.81327 | Accuracy: 0.72502
Epoch 291/300 | Loss: 204.73838 | Accuracy: 0.73638
Epoch 292/300 | Loss: 192.81171 | Accuracy: 0.74250
Epoch 293/300 | Loss: 203.55571 | Accuracy: 0.73368
Epoch 294/300 | Loss: 203.17854 | Accuracy: 0.73028
Epoch 295/300 | Loss: 171.86447 | Accuracy: 0.74808
Epoch 296/300 | Loss: 171.42198 | Accuracy: 0.74484
Epoch 297/300 | Loss: 150.65315 | Accuracy: 0.75570
Epoch 298/300 | Loss: 179.75423 | Accuracy: 0.73426
Epoch 299/300 | Loss: 164.46000 | Accuracy: 0.74496
Epoch 300/300 | Loss: 129.12981 | Accuracy: 0.76562
Loss: 521.79905 | Accuracy: 0.77204
